"trackID","artistName","trackName","albumName"
"5Wak5qdZwGg9PmBmuvIOvh","Rush","Working Man - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"6RW4kOOiCoM7yBFFEWSqyC","Rush","Spindrift - Snakes & Arrows Live Version","Snakes & Arrows Live"
"0hB7p4rUwkpVyNifHxTXXT","Rush","Lessons","2112"
"7JC0CAFGIXFEQIAfcx19p1","Rush","The Main Monkey Business - Snakes & Arrows Live Version","Snakes & Arrows Live"
"625y4LM6vsi4oeZDdXxXW1","Queen","The Miracle - Remastered 2011","Greatest Hits II"
"6CQY6C0cgxLxReIjjJat9H","Rush","Losing It - Live R40 Tour","R40 Live"
"32DaPcfAuiQtdvRaOQn7qX","Rush","Leave That Thing Alone - 2004 Remaster","Counterparts"
"21t1bdwV3pEawdK9OhsauX","Black Sabbath","Live Forever","13"
"68WOjqnUdYrBd44y9ow0Z1","Rush","The Necromancer","Caress Of Steel"
"1FlPsr3Ch2Lj1tzUgbodsB","Queen","One Vision - Live At Wembley Stadium / July 1986","Live At Wembley Stadium"
"4ie9a7aQFIUFnOOTeZxtLc","Rush","YYZ - Rio Live","Rush in Rio"
"28NxAt7ByzjZB7tZE1DlIe","Rush","BU2B - Live In Cleveland","Time Machine 2011: Live In Cleveland"
"0eTOcyfTqfutyBWbbAD6Yh","Rush","O'Malley's Break - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"3tcaltthSz9s6awB6koVRo","Led Zeppelin","Good Times Bad Times - Remaster","Mothership"
"456jV1ws5BS2m5v2qwwRpo","Queen","Drum And Tympani Solo - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"2bM5vad6jebdtk9yyawsl3","Rush","The Spirit of Radio - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"78483g1DX5kIjyRnsGzxo3","Rush","Between The Wheels","Grace Under Pressure"
"0WLulekxiDsLSjnXrTg2qY","Rush","Between The Wheels - Live R40 Tour","R40 Live"
"73gUAvDlyfFvzCXqQ3FB4M","Rush","Marathon - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"0H37bHLTLfckeMIj75sCW3","Rush","Summertime Blues - R30 Live Version","R30"
"3qoRpG240NppQ14EM8XUDs","Rush","New World Man - Rio Live","Rush in Rio"
"3Dheqt3QdES7JNJF1cfhxI","Queen","Now I'm Here - Remastered 2011","Greatest Hits"
"0cDmmh2mYm3pQUKIV96dNa","Rush","Distant Early Warning - Rio Live","Rush in Rio"
"2l1AraumK6y3VUwi8Bw7iJ","Rush","New World Man","Signals"
"4nUzLcZnf9KTgFBF4OHmjp","Rush","Circumstances - Snakes & Arrows Live Version","Snakes & Arrows Live"
"4cH6pBrixn9obYACND9lrb","Rush","What You're Doing / Working Man - Medley / Live R40 Tour","R40 Live"
