"trackID","artistName","trackName","albumName"
"4yKWUl2WR327Ol0MNzOD5B","Geddy Lee","My Favorite Headache","My Favorite Headache"
"10kUVvy3damVfxFRABXKkB","Geddy Lee","Working at Perfekt","My Favorite Headache"
"3Szho175dsJo76urI0OxEO","Rush","Nobody's Hero - 2004 Remaster","Counterparts"
"0bh40rcAYgtvLgS77L9SRi","Rush","Beneath, Between & Behind","Fly By Night"
"2qxfjiwmOcxaepHaGqhRjR","Rush","Making Memories","Fly By Night"
"2T6lFb6HFAOkkOnphgwA2R","Rush","In The End","Fly By Night"
"2dt7SFawiOvxi2Fxr7oy0O","Rush","Big Wheel - 2004 Remaster","Roll the Bones"
"6kZsLcq0dKjKvFWOyY5gzt","Rush","Ghost of a Chance - 2004 Remaster","Roll the Bones"
"5NLvbki7VVHdfijSsEOPQl","Rush","Heresy - 2004 Remaster","Roll the Bones"
"3VtrcsvEp3RIwg87GOui3q","Rush","Heart Full of Soul","Feedback"
"2ix7QGz7AtP7adFF52EDW6","Rush","Before And After","Rush"
"54TaGh2JKs1pO9daXNXI5q","Rush","Fly By Night","Fly By Night"
"52Lz3HKBItvMWuSNDBixq3","Yes","It Can Happen","90125"
"6clsmQJYrDXCFRJQElCKmN","Queen","These Are The Days Of Our Lives","Greatest Hits III"
"625y4LM6vsi4oeZDdXxXW1","Queen","The Miracle - Remastered 2011","Greatest Hits II"
"1Eh0FDAab5TnUdsBquNGRp","Rush","The Pass - Rio Live","Rush in Rio"
"6TzYSNfTrfgauZwKITljUU","Rush","Bravado - Rio Live","Rush in Rio"
"5QTxFnGygVM4jFQiBovmRo","Blue Öyster Cult","(Don't Fear) The Reaper","Agents Of Fortune"
"0M7oqERflkrJVHD3IAZqxo","Blue Öyster Cult","Cities On Flame with Rock and Roll","Blue Oyster Cult"
"1bPUK3zBMK73QXmCLzqffn","Blue Öyster Cult","Veteran of the Psychic Wars","Fire of Unknown Origin"
"4hO1SWYmqJF6X7O5rZaE6R","Blue Öyster Cult","I Love the Night","Spectres"
"3vCHmbyOgc6pgwLUWfU4pF","Queen","Somebody To Love - Remastered 2011","A Day At The Races"
"1luVGXHe7oimtkPScdsKBe","Queen","Love Of My Life - Remastered 2011","A Night At The Opera"
"1pBFEy8cz0Fq4Pru0c4awd","Queen","Save Me - Remastered 2011","The Game"
"1chxAv59LZcOE5FyrlUze2","Queen","You Don't Fool Me - Remastered 2011","Made In Heaven"
"1Z7bb5kCneFw3kAXVpYfUe","Queen","No One But You (Only The Good Die Young) - Remastered 2011","The Platinum Collection"
"7ksIO530pyjuT7MLJy3F8O","Queen","All Dead, All Dead - Remastered 2011","News Of The World"
"65NTcXUtOb27NHKQ4fAcw0","Queen","'39 - Remastered 2011","A Night At The Opera"
"6CRNYiqBld7XK4plDLk3lL","Rush","The Garden","Clockwork Angels"
"3SGP8It5WDnCONyApJKRTJ","Queen","Who Wants To Live Forever - Remastered 2011","Greatest Hits II"
"6a0bGgN3heaoN211kvpCEz","Queen","Too Much Love Will Kill You","Greatest Hits III"
"54yTYc6V2ByxpXwGAFmv7p","Queen","Las Palabras De Amor (The Words Of Love)","Greatest Hits III"
"4jtV8U4336xaMtS5fc9KhK","Queen","Let Me Live","Greatest Hits III"
"77HQv8DULZBOuLYk09lojh","Queen","In the Lap of the Gods...Revisited - Live, Wembley Stadium, July 1986","Live At Wembley Stadium"
"5LoEFpFcFXm6JMQIT9DOK1","Queen","Is This the World We Created? - Live At Wembley Stadium / July 1986","Live At Wembley Stadium"
"0QHY2cPwl7GpgC4WO5Onql","Rush","The Twilight Zone","2112"
"5L2dN3m2sliHCEojBDt7wR","Rush","Tears","2112"
"6oZJhVw9oYz6MN1SBMPYFu","Rush","Halo Effect","Clockwork Angels"
"6u5hqhR0SXezCXPWdE9fGO","Rush","Losing It - Live R40 Tour","R40 Live"
"4TZCHc0e08MARzh9dXHOcI","Rush","How It Is - Live R40 Tour","R40 Live"
"0ZYf6N5eBeXStMri0mf3DZ","'Til Tuesday","Voices Carry","Voices Carry (Expanded Edition)"
"6LEBH45mfp7GOsCWT317Fj","Rush","Resist - Acoustic; Rio Live","Rush in Rio"
"6ZCkhQPdBtUzZPkkO1o9cx","'Til Tuesday","Coming Up Close","Welcome Home"
"48JM82SHQTBYkhEYhMaOaa","The Beatles","She Loves You - Remastered 2009","Past Masters"
"0aym2LBJBk9DAYuHHutrIl","The Beatles","Hey Jude - Remastered 2015","1"
"1Zd5KxenhiRD0OpIf9Dfmh","Blue Öyster Cult","Death Valley Nights","Spectres"
"5pj6dyHx3qrmag2O9Y1ZG5","Queen","Let Me In Your Heart Again - William Orbit Mix","Let Me In Your Heart Again"
"5G7uLHtoEW140QOcBpJlfz","Led Zeppelin","What Is and What Should Never Be - 1990 Remaster","Led Zeppelin II"
