"trackID","artistName","trackName","albumName"
"4k4tFDl5rmRAA7L7gIjBTI","Led Zeppelin","Kashmir - Live: O2 Arena, London - December 10, 2007","Celebration Day"
"3tcaltthSz9s6awB6koVRo","Led Zeppelin","Good Times Bad Times - Remaster","Mothership"
"3I7a9joX0lJnK9XzE38GnD","Led Zeppelin","Heartbreaker - Remaster","Mothership"
"5Hh11AVOcg6kz2u0jkBRtE","Queen","Tie Your Mother Down - Live At Wembley Stadium / July 1986","Live At Wembley Stadium"
"77HQv8DULZBOuLYk09lojh","Queen","In the Lap of the Gods...Revisited - Live, Wembley Stadium, July 1986","Live At Wembley Stadium"
"0VX5SeVK2VbE7QCmckXUaP","Rush","Crossroads","Feedback"
"0E70jrvuv9CkmjiQ2bcZLJ","Rush","Summertime Blues","Feedback"
"481S5BKOolPHU4VDkDBHqn","Rush","Anthem","Fly By Night"
"0uV03rQUQn4j6HhWz7Nt2T","Rush","Test for Echo - 2004 Remaster","Test for Echo"
"6ezVZ1BT2caoc10Y1ReWKr","Rush","Driven - 2004 Remaster","Test for Echo"
"4PGtzzHJMmp4H3HBpdDUee","Yes","Our Song","90125"
"1gkn90ExKRNAOlhDs4RoW0","Rush","Working Man","Rush"
"2CB4yzH1SBr0q85YniII0M","Rush","In The Mood","Rush"
"11KIDPIj4gFZ43Q6szqAfB","Rush","Take A Friend","Rush"
"4ssrDczLOdo1veDL3LgHwI","Rush","Need Some Love","Rush"
"3fkPMWQ6cBNBLuFcPyMS8s","Blue Öyster Cult","Burnin' for You","Fire of Unknown Origin"
"6N0AnkdDFZUetw8KAGHV7e","Blue Öyster Cult","Godzilla","Spectres"
