"trackID","artistName","trackName","albumName"
"1mAFKniHLRQSpd8wWani14","Geddy Lee","The Angels' Share","My Favorite Headache"
"3cFUgGMpaynZHiuEqv48qn","Geddy Lee","Runaway Train","My Favorite Headache"
"4yKWUl2WR327Ol0MNzOD5B","Geddy Lee","My Favorite Headache","My Favorite Headache"
"10kUVvy3damVfxFRABXKkB","Geddy Lee","Working at Perfekt","My Favorite Headache"
"3VtrcsvEp3RIwg87GOui3q","Rush","Heart Full of Soul","Feedback"
"3HIvUCPsvELgIW7GNrXyK5","Rush","For What It's Worth","Feedback"
"5dkfF6T8QH5myWNt7GUHeo","Rush","Mr. Soul","Feedback"
"6gMIafMZuSDsLuCfEJhbln","Rush","Shapes of Things","Feedback"
"5ygL2ee5PAwG8ZnF1fTqlD","Rush","Seven and Seven Is","Feedback"
"7fCntOTBEH6rshHhWX7hKG","Rush","Bravado - 2004 Remaster","Roll the Bones"
"2k0xk8GpsST0pcJ0Wck9tE","Rush","Roll the Bones - 2004 Remaster","Roll the Bones"
"56FU6yh4O46jrAltLyY2zr","Rush","Where's My Thing - 2004 Remaster","Roll the Bones"
"5NLvbki7VVHdfijSsEOPQl","Rush","Heresy - 2004 Remaster","Roll the Bones"
"2LJnqa6OFoKrMdx84CYfGh","Rush","You Bet Your Life - 2004 Remaster","Roll the Bones"
"0pT7Vws8MhBLXx7rwqOwMD","Rush","The Pass - 2004 Remaster","Presto"
"40UDRU6xIODKg1NStpayEt","Rush","War Paint - 2004 Remaster","Presto"
"0TfPS1dhsUTGISdvXAoPES","Rush","Presto - 2004 Remaster","Presto"
"1KcmYwbviRzSCd2aB5LDke","Rush","Red Tide - 2004 Remaster","Presto"
"2cGFkKCnNlehBR2CKkjXAF","Rush","Available Light - 2004 Remaster","Presto"
"5gjLmSIlvHJjCN7qKTnoqi","Rush","Anagram - 2004 Remaster","Presto"
"5uORXVBCCN45rbW5LOuurt","Rush","Animate - 2004 Remaster","Counterparts"
"3Szho175dsJo76urI0OxEO","Rush","Nobody's Hero - 2004 Remaster","Counterparts"
"0IAUgBaT8QFLt1R1TxfK6u","Rush","Alien Shore - 2004 Remaster","Counterparts"
"2JSwj8qqQZtL5hRcS66IA3","Rush","Faithless","Snakes & Arrows"
"63JnyvtwaCYqsVQfVwgyuI","Rush","We Hold On","Snakes & Arrows"
