"trackID","artistName","trackName","albumName"
"5pj6dyHx3qrmag2O9Y1ZG5","Queen","Let Me In Your Heart Again - William Orbit Mix","Let Me In Your Heart Again"
"1AXwQOFlVZ84Ib0O7M4b6h","Roger Taylor","Sunny Day","Fun On Earth"
"5Nuxdf0f5PpaeaPm4jrhiE","Queen","Breakthru - Remastered 2011","The Miracle"
"0eTOcyfTqfutyBWbbAD6Yh","Rush","O'Malley's Break - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"3frkRLXM4ueVHWCj300k2U","Rush","Closer to the Heart - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"1Z7bb5kCneFw3kAXVpYfUe","Queen","No One But You (Only The Good Die Young) - Remastered 2011","The Platinum Collection"
"6J6nHaxeRubBEYLMjW47OF","Rush","Peke's Repose (Guitar Solo) / Halo Effect [with Clockwork Angels String Ensemble] [Live on Clockwork Angels Tour]","Clockwork Angels Tour"
"7ksIO530pyjuT7MLJy3F8O","Queen","All Dead, All Dead - Remastered 2011","News Of The World"
"4VKAoFw5bk4f3IpXdzy7Vh","Queen","Heaven For Everyone","Greatest Hits III"
"3MfS6EixnNddUaOReff2aI","Rush","Lakeside Park - Live","Caress Of Steel"
"2dt7SFawiOvxi2Fxr7oy0O","Rush","Big Wheel - 2004 Remaster","Roll the Bones"
"7fCntOTBEH6rshHhWX7hKG","Rush","Bravado - 2004 Remaster","Roll the Bones"
"1hM2HXmeYuEe1VTf0O1IFU","Rush","Dreamline - 2004 Remaster","Roll the Bones"
"4Jnhl8sVVMYyrTMEcvCnhU","Rush","Hope - Snakes & Arrows Live Version","Snakes & Arrows Live"
"3RVaJJ8hVkbFNfGwnoR7CX","Rush","Distant Early Warning - Snakes & Arrows Live Version","Snakes & Arrows Live"
"4bGkklcgdZvIUtoqIc7wcd","Rush","Something For Nothing","2112"
"1MKMMux7dQp4TW3xWO0wxu","Queen","Under Pressure - Rah Mix","Greatest Hits III"
"4GRyEnshYyoShwFtgNRqKa","Queen","The Show Must Go On - Live / Theatre National de Chaillot, Paris / 1997","Greatest Hits III"
"6ZCkhQPdBtUzZPkkO1o9cx","'Til Tuesday","Coming Up Close","Welcome Home"
"1TE5vQsrINuoC2g5EoAR9p","Queen","Doing All Right - BBC Session / February 5th 1973, Langham 1 Studio","On Air"
"1K75F5lMyhGFqbM8HwWSpS","Yes","Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm","The Yes Album"
"16VhHtoaOjTU4AJBNSBNQ1","Led Zeppelin","Hey, Hey, What Can I Do - Remaster","Coda"
"36CKza28wMxYdjdzji7ine","Bee Gees","I Started A Joke","Idea"
"67UYyEvzyi7xt86pyA8o5k","Rush","Cygnus X-1: Book II Hemispheres - The Sphere (A Kind Of Dream) - Live At Pinkpop Festival, Netherlands/1979","Hemispheres"
