"trackID","artistName","trackName","albumName"
"6dGnYIeXmHdcikdzNNDMm2","The Beatles","Here Comes The Sun - Remastered 2009","Abbey Road"
"3BQHpFgAp4l80e1XslIjNI","The Beatles","Yesterday - Remastered 2009","Help!"
"05f8Hg3RSfiPSCBQOtxl3i","Led Zeppelin","When the Levee Breaks - Remaster","Led Zeppelin IV"
"5a4MgIUSf9K8wXLSm6xPEx","Pink Floyd","High Hopes","The Division Bell"
"6lrh9jZ1xoMwoErgPSj2rY","Led Zeppelin","All My Love - 1990 Remaster","In Through the out Door"
"4OMu5a8sFpcRCPCcsoEaov","Led Zeppelin","Babe I'm Gonna Leave You - 1990 Remaster","Led Zeppelin"
"4MpIwDaZdFLafMDcAx4k4q","Black Sabbath","Changes","Vol. 4"
"62QInSlXQI11BR9ycVWjd6","Led Zeppelin","I Can't Quit You Baby - 1990 Remaster","Led Zeppelin"
"7fCntOTBEH6rshHhWX7hKG","Rush","Bravado - 2004 Remaster","Roll the Bones"
"0pT7Vws8MhBLXx7rwqOwMD","Rush","The Pass - 2004 Remaster","Presto"
"6CRNYiqBld7XK4plDLk3lL","Rush","The Garden","Clockwork Angels"
