"trackID","artistName","trackName","albumName"
"4MpIwDaZdFLafMDcAx4k4q","Black Sabbath","Changes","Vol. 4"
"0pQskrTITgmCMyr85tb9qq","David Bowie","Starman - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars"
"72Z17vmmeQKAg8bptWvpVG","David Bowie","Space Oddity - 2015 Remaster","David Bowie (aka Space Oddity)"
"1mAFKniHLRQSpd8wWani14","Geddy Lee","The Angels' Share","My Favorite Headache"
"3HIvUCPsvELgIW7GNrXyK5","Rush","For What It's Worth","Feedback"
"0pT7Vws8MhBLXx7rwqOwMD","Rush","The Pass - 2004 Remaster","Presto"
"0TfPS1dhsUTGISdvXAoPES","Rush","Presto - 2004 Remaster","Presto"
"7fCntOTBEH6rshHhWX7hKG","Rush","Bravado - 2004 Remaster","Roll the Bones"
"3aAB9ANGuZSVnz1wUHStOh","Rush","Hope - Instrumental","Snakes & Arrows"
"6sH5tkQoXL3YKV0hpXZoWj","Blue Öyster Cult","True Confessions","Agents Of Fortune"
"2IDIxX8L57lsOczvSMQRFd","Yes","And You and I - 2003 Remaster","Close to the Edge"
"0nUCaKwNqO5whVAhEX1A1R","Queen","Spread Your Wings - Remastered 2011","News Of The World"
"6FRwDxXsvSasw0y2eDArsz","Cream","Sunshine Of Your Love","Disraeli Gears"
"3ET8TZWF5sP4SPfJK1lKun","Cream","Strange Brew","Disraeli Gears"
"5pj6dyHx3qrmag2O9Y1ZG5","Queen","Let Me In Your Heart Again - William Orbit Mix","Let Me In Your Heart Again"
"5Nuxdf0f5PpaeaPm4jrhiE","Queen","Breakthru - Remastered 2011","The Miracle"
"1Z7bb5kCneFw3kAXVpYfUe","Queen","No One But You (Only The Good Die Young) - Remastered 2011","The Platinum Collection"
"7ksIO530pyjuT7MLJy3F8O","Queen","All Dead, All Dead - Remastered 2011","News Of The World"
"4VKAoFw5bk4f3IpXdzy7Vh","Queen","Heaven For Everyone","Greatest Hits III"
"3qiyyUfYe7CRYLucrPmulD","The Who","Baba O'Riley","Who's Next"
"4Vtl42qX97JBj68TKifBHR","The Who","Bargain","Who's Next"
"0cKk8BKEi7zXbdrYdyqBP5","The Who","Behind Blue Eyes","Who's Next"
"4hO1SWYmqJF6X7O5rZaE6R","Blue Öyster Cult","I Love the Night","Spectres"
"0QHY2cPwl7GpgC4WO5Onql","Rush","The Twilight Zone","2112"
"0hB7p4rUwkpVyNifHxTXXT","Rush","Lessons","2112"
"5L2dN3m2sliHCEojBDt7wR","Rush","Tears","2112"
"4bGkklcgdZvIUtoqIc7wcd","Rush","Something For Nothing","2112"
"341PPpWkAUkEQeIdQQDGTo","Rush","Jacob's Ladder","Permanent Waves"
"2BlPpQDClWGXuYttAmQcBY","Rush","Different Strings","Permanent Waves"
"4u3oXuVeOGoByIMz9pnOKf","Rush","Closer To The Heart","A Farewell To Kings"
"4BG64Z9i4XACK6IRWmgIKO","Rush","Emotion Detector","Power Windows"
"7wqF3BU0ykeKch6BcNqGiT","Black Sabbath","Planet Caravan","Paranoid"
"2KtpzJOCmJa29vBLwDUGHQ","Black Sabbath","Evil Woman","Black Sabbath"
"1udmPvJoBnqitbeYKKc9mc","Black Sabbath","Black Sabbath","Black Sabbath"
"6mFkJmJqdDVQ1REhVfGgd1","Pink Floyd","Wish You Were Here","Wish You Were Here"
"5a4MgIUSf9K8wXLSm6xPEx","Pink Floyd","High Hopes","The Division Bell"
"7kriFJLY2KOhw5en9iI2jb","Pink Floyd","Echoes","Meddle"
"63brgJhrcNFW8ncUhM1mhG","Pink Floyd","If","Atom Heart Mother"
"4p1qtNoktFkDJy2oeXHmYi","Pink Floyd","More Blues","More"
"6pnwfWyaWjQiHCKTiZLItr","Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5)","Wish You Were Here"
"21j1PsCiTaO8ZW88UZrh3A","Pink Floyd","Shine On You Crazy Diamond (Pts. 6-9)","Wish You Were Here"
"20mmTwCJPnoA9Gq4Qhbqaj","Rush","Territories","Power Windows"
"3uQDfCKlwfK9Yz10JFcsC7","Rush","Manhattan Project","Power Windows"
"4UbZmqYEzT5vn4UrPzAHu9","Rush","Middletown Dreams","Power Windows"
"1P83JLGQz1XXCJ5hTMGRMY","Brian May","Driven By You","Greatest Hits III"
"6DVF7xZCs6153tuM9NeyeG","Queen","You Don't Fool Me","Greatest Hits III"
"4jtV8U4336xaMtS5fc9KhK","Queen","Let Me Live","Greatest Hits III"
"6clsmQJYrDXCFRJQElCKmN","Queen","These Are The Days Of Our Lives","Greatest Hits III"
"5KBdHzTROSlD3dACh91sZx","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)","Agents Of Fortune"
