"trackID","artistName","trackName","albumName"
"1gkn90ExKRNAOlhDs4RoW0","Rush","Working Man","Rush"
"0VX5SeVK2VbE7QCmckXUaP","Rush","Crossroads","Feedback"
"3VtrcsvEp3RIwg87GOui3q","Rush","Heart Full of Soul","Feedback"
"5bfOSF1W6pwpnTFBxxhger","Rush","The Seeker","Feedback"
"0E70jrvuv9CkmjiQ2bcZLJ","Rush","Summertime Blues","Feedback"
"0YveezON7jpiaHA8fnUHxN","Yes","Roundabout - 2003 Remaster","Fragile"
"5vfoqFiW6wXwhwa7r523Iq","Yes","Long Distance Runaround - 2003 Remaster","Fragile"
"7gC6Rbllqf1yXNC02e5jz2","Yes","Heart of the Sunrise - 2003 Remaster","Fragile"
"0GTK6TesV108Jj5D3MHsYb","Yes","Owner of a Lonely Heart","90125"
"6avltRfZeoNa2zWipWNIyp","Yes","We Have Heaven - 2003 Remaster","Fragile"
"5cPpn5y3ar41GGd971CFEd","Rush","Presto - Live in Cleveland","Time Machine 2011: Live In Cleveland"
"2i036ct8bzZJ3tHD4TKz1P","Rush","The Camera Eye - Live R40 Tour","R40 Live"
"4PGtzzHJMmp4H3HBpdDUee","Yes","Our Song","90125"
"4TZCHc0e08MARzh9dXHOcI","Rush","How It Is - Live R40 Tour","R40 Live"
"3skk6UIXV4kepq2bdYy97g","Yes","I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster","The Yes Album"
"7JQQAJu6eeo05nkGHh9OIY","The Who","Who Are You - Lost Verse Mix","Who Are You"
"3qiyyUfYe7CRYLucrPmulD","The Who","Baba O'Riley","Who's Next"
"0cKk8BKEi7zXbdrYdyqBP5","The Who","Behind Blue Eyes","Who's Next"
"0cJPLFrlV7TTCyPLupHzcH","The Who","Won't Get Fooled Again - Original Album Version","Who's Next"
"60C8zGPTdAAmDshHnMuyfc","The Who","Pinball Wizard","Tommy"
"0Da5NUD5HtnPdswApLWUNk","Queen","We Will Rock You (Fast) - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"3SwdcJRPH4kjjmzUatIYeN","Queen","Let Me Entertain You - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"43VpPL4lOvPdSxAOEGECgW","Queen","Get Down, Make Love - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"1ehPqWM0jyWgJ3XIVnpvhW","Queen","Save Me - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"4TxOT7mYlkpShICKPVdbvh","Queen","Innuendo - Remastered 2011","Innuendo"
"1vD5AvQg8Mf2Me0McsuUR2","Queen","I'm Going Slightly Mad - Remastered 2011","Innuendo"
"75ENUdaC0r3jdu9YllYQ3y","Queen","Headlong - Remastered 2011","Innuendo"
"0o4ybf9KAlbbmYcvdGLfJY","Queen","These Are The Days Of Our Lives - 2011 Remaster","Innuendo"
"2VG9XGE8poa9PW5H33VOC2","Queen","Bijou - 2011 Remaster","Innuendo"
"7zv5oGRQoJX09QM3pkvI1w","Queen","The Show Must Go On - Remastered 2011","Innuendo"
"6a0bGgN3heaoN211kvpCEz","Queen","Too Much Love Will Kill You","Greatest Hits III"
"6r862ZdyJEHbiZsBOd186U","Queen","No One But You (Only The Good Die Young)","Greatest Hits III"
"0QtJZpyfZF67QF32p41NXa","Queen","Thank God It's Christmas","Greatest Hits III"
"78Uj2ZVdsds9yvJfAw1Qcq","Queen","Who Wants To Live Forever - Remastered 2011","Queen Forever"
"6oErvA4QzEuUEwqUwn66H6","Queen","The Miracle - Remastered 2011","The Miracle"
"1bhdsJD19oLCxvjPN6TFPi","Queen","Breakthru - Remastered 2011","The Miracle"
"1aBqMBeUvsLpumtXjXfZP9","Queen","The Invisible Man - Remastered 2011","The Miracle"
"4ie9a7aQFIUFnOOTeZxtLc","Rush","YYZ - Rio Live","Rush in Rio"
"5qItIJ3clfXYXPF8D9h0AQ","Rush","Ghost Rider - Rio Live","Rush in Rio"
"4fPj9XjpmMVedKjio3cdbR","Rush","A Passage To Bangkok - Live In The UK / 1980","Exit ... Stage Left"
"4X4siOXRGAmIos8tJG7uy8","Rush","The Spirit Of Radio - Live In Canada / 1980","Exit ... Stage Left"
"6kTtpt4ccWlFtgs8e3uQXZ","Rush","Red Barchetta - Live In Canada / 1980","Exit ... Stage Left"
"2Zgx4TycztITAyfy5QRn3N","Rush","Jacob's Ladder - Live In The UK / 1980","Exit ... Stage Left"
"3THzmYancb8RVehmqItO6G","Rush","Xanadu - Live In Canada / 1980","Exit ... Stage Left"
"5QO8pmNfR4kxW5CIcHl5bD","Rush","La Villa Strangiato - Live In Canada / 1980","Exit ... Stage Left"
"4aYH6oBZp2gUWTOWyHlHGp","Rush","R30 Overture (Finding My Way, Bastille Day, Anthem, a Passage to Bangkok, Cygnus X1, Hemispheres)","R30"
"2DF9G5djjtm8GHrBsNWTBk","Rush","Turn The Page - Live In New Orleans/1988","A Show Of Hands"
"3C71cpNNkRkmFqgttqXFZS","Rush","Time Stand Still - Live In Birmingham England/1988","A Show Of Hands"
"23IJ5wLRhEZ9DOuia5mPiZ","The Who","Who Are You","Who Are You"
"3QZ7uX97s82HFYSmQUAN1D","Rush","Tom Sawyer","Moving Pictures"
"6FRwDxXsvSasw0y2eDArsz","Cream","Sunshine Of Your Love","Disraeli Gears"
"0zgQIBVayv8B4Zmql9xqpn","Queen","Dragon Attack - Live At The Montreal Forum / November 1981","Queen Rock Montreal"
"4oln108lelSadoqEFlwCZi","Rush","Far Cry","Snakes & Arrows"
"6ZXtAlyP1lNWfIJ2faQvwP","Rush","Armor and Sword","Snakes & Arrows"
"36ypZxzbhZOh68bzs1giOd","Rush","Workin' Them Angels","Snakes & Arrows"
"6XP1lxHvGRqttJq7bogFQ0","Rush","The Larger Bowl","Snakes & Arrows"
"1dmIlrag3uTxCI815XgXrr","Rush","Spindrift","Snakes & Arrows"
"3uBiydBKLwlAk9f3lICpVo","Rush","The Main Monkey Business - Instrumental","Snakes & Arrows"
"4eh73oNd3bMVLI1NSeezm1","Rush","The Way the Wind Blows","Snakes & Arrows"
"3aAB9ANGuZSVnz1wUHStOh","Rush","Hope - Instrumental","Snakes & Arrows"
"2JSwj8qqQZtL5hRcS66IA3","Rush","Faithless","Snakes & Arrows"
"5rlyubwWC7PSllji9QWVVN","Rush","Bravest Face","Snakes & Arrows"
"4vGv5xaIUgmzycJlUQXpSp","Rush","Good News First","Snakes & Arrows"
"4nmEn8BaHCNLwvHcwAzhaU","Rush","Malignant Narcissism - Instrumental","Snakes & Arrows"
"63JnyvtwaCYqsVQfVwgyuI","Rush","We Hold On","Snakes & Arrows"
