"trackName","artistName","albumName"
"Bargain - Live","The Who","Live In Hyde Park"
"Eminence Front - Live","The Who","Live In Hyde Park"
"Baba O'Riley - Live","The Who","Live In Hyde Park"
"I Can't Explain - Live","The Who","Live In Hyde Park"
"The Seeker - Live","The Who","Live In Hyde Park"
"My Wife","The Who","Live at the Royal Albert Hall"
"Who Are You - Live","The Who","Live In Hyde Park"
"Won't Get Fooled Again - Young Vic Live Mix","The Who","Who's Next"
"Pictures Of Lily - Live","The Who","Live In Hyde Park"
"My Generation - Live","The Who","Live In Hyde Park"
"Behind Blue Eyes - Live","The Who","Live In Hyde Park"
"Pinball Wizard - Live","The Who","Live In Hyde Park"
