"trackID","endTime","artistName","trackName","msPlayed","isPodcast"
"null","2021-02-08 00:43","Horizonte De Eventos","Horizonte de Eventos",2987750,"Yes"
"6sH5tkQoXL3YKV0hpXZoWj","2021-02-19 12:37","Blue Öyster Cult","True Confessions",176040,"No"
"4SEVM5zCvVLTwk8Rm5ox0I","2021-02-19 12:40","Blue Öyster Cult","That Was Me",198638,"No"
"5KBdHzTROSlD3dACh91sZx","2021-02-19 12:44","Blue Öyster Cult","E.T.I.",222773,"No"
"7vm7Bd52OsZmxk3yWulR2u","2021-02-19 12:48","Blue Öyster Cult","In Thee",230146,"No"
"1BKoilGgL2OgmPKcYQ27vQ","2021-02-19 12:57","Blue Öyster Cult","Golden Age of Leather",352080,"No"
"2PicnFqnuKd9EwHp2xQvcn","2021-02-19 13:01","Blue Öyster Cult","Sole Survivor",246640,"No"
"4Nyx3c0IPFITNo42yodlrh","2021-02-19 13:08","Blue Öyster Cult","Black Blade",399106,"No"
"6JtnDjDz5eJ87GOAd8sDbv","2021-02-19 13:13","Blue Öyster Cult","Monsters",307133,"No"
"4RzUcGT0RAmyeEe5wmvz88","2021-02-19 13:39","David Gilmour","Echoes",1525513,"No"
"0hBby0yygBY1u3m6tSpZgC","2021-02-19 13:50","Rush","The Camera Eye",658986,"No"
"3wBqON2EX3QFDyFLvl1Tcv","2021-02-19 13:56","Rush","Mystic Rhythms",353840,"No"
"3uQDfCKlwfK9Yz10JFcsC7","2021-02-19 14:01","Rush","Manhattan Project",304866,"No"
"7LHp6fGj4lG47lNceQ0Ltc","2021-02-19 16:16","Rush","Turn The Page",295106,"No"
"2SBKGHPQmo65mz9MxV30Fr","2021-02-19 16:21","Rush","Prime Mover",318733,"No"
"3PefhAnxRxxxeimzWetwnT","2021-02-19 16:26","Rush","Red Sector A",309146,"No"
"71PeEU6DLw7b2UvKuilQ0e","2021-02-19 16:33","Rush","The Weapon",383400,"No"
"2rIyuURzVLDjENwkmhZ5Gf","2021-02-19 16:39","Rush","Countdown",350106,"No"
"4HFRItYjNrcwT6Vbtbk2i4","2021-02-19 16:43","Black Sabbath","Zeitgeist",277786,"No"
"3gY381aWseWtDcnanY9n6u","2021-02-19 16:51","Black Sabbath","Damaged Soul",471666,"No"
"1p9hRNRKVFPuYv0ADlkl1l","2021-02-19 16:55","Rush","A Passage To Bangkok",214893,"No"
"4bGkklcgdZvIUtoqIc7wcd","2021-02-19 16:59","Rush","Something For Nothing",238933,"No"
"0QHY2cPwl7GpgC4WO5Onql","2021-02-19 17:02","Rush","The Twilight Zone",200066,"No"
"481S5BKOolPHU4VDkDBHqn","2021-02-19 17:06","Rush","Anthem",261760,"No"
"2fsFnXtYfu3xkz9QXj1pZs","2021-02-19 17:11","Rush","Bastille Day",277133,"No"
"5q7KiSN7znIONR76LAqm7k","2021-02-19 17:22","Rush","Xanadu",664853,"No"
"3sFgH9hqMB6cySLWJOGAJ4","2021-02-19 17:32","Rush","Natural Science",559893,"No"
"1rUmVxcEAAMTI7BGp4fiyl","2021-02-19 17:36","Rush","The Analog Kid",287666,"No"
"1zS3nK868x59ewPAzXat4y","2021-02-20 03:44","Rush","Afterimage",233590,"No"
"1zS3nK868x59ewPAzXat4y","2021-02-22 00:36","Rush","Afterimage",303640,"No"
"6QRQd3I52HHXy59OWAqKNa","2021-02-22 00:40","Rush","The Enemy Within",274506,"No"
"4lShKS7ee6aoC8hbUVOhYG","2021-02-22 00:44","Rush","Circumstances",220333,"No"
"6fBVFj2Bg9mo4AsPgsDHYw","2021-02-22 00:49","Rush","Ghost Rider",340650,"No"
"1HMiAvNM0klyxplKlwL200","2021-02-22 00:55","Rush","Earthshine",337801,"No"
"78483g1DX5kIjyRnsGzxo3","2021-02-22 01:01","Rush","Between The Wheels",344280,"No"
"6sH5tkQoXL3YKV0hpXZoWj","2021-02-22 01:04","Blue Öyster Cult","True Confessions",176040,"No"
"4SEVM5zCvVLTwk8Rm5ox0I","2021-02-22 01:08","Blue Öyster Cult","That Was Me",198638,"No"
"5KBdHzTROSlD3dACh91sZx","2021-02-22 01:11","Blue Öyster Cult","E.T.I.",222773,"No"
"7vm7Bd52OsZmxk3yWulR2u","2021-02-22 01:15","Blue Öyster Cult","In Thee",230146,"No"
"1BKoilGgL2OgmPKcYQ27vQ","2021-02-22 01:57","Blue Öyster Cult","Golden Age of Leather",181602,"No"
"6hq2Enqp3pXY5nhxcfuZiW","2021-03-06 01:37","Rush","Presto",327903,"No"
"2d7LPtieXdIYzf7yHPooWd","2021-03-06 01:42","Sleeping At Last","Chasing Cars",2506,"No"
"32L4YJsU0uetIaSwsT7i22","2021-03-06 01:42","Rush","Red Tide",2241,"No"
"3tJjZMHLqhD8DaGgdBICnc","2021-03-06 01:42","Sleeping At Last","Saturn",289792,"No"
