"artistName","trackName","isPodcast","id"
"<U+6587><U+4FCA><U+8F89>","<U+4E4C><U+9E26>","No","7fTc6aBevhBfM6vjSQuWHZ"
"<U+6587><U+4FCA><U+8F89>","<U+5BC2><U+5BDE><U+53F7><U+767B><U+673A><U+53E3>","No","0fSuP4hMUK1CqDAYV62BHF"
"Black Sabbath","A National Acrobat","No","3hTGrqFnqsYtKKBWQYqUPy"
"Black Sabbath","Black Sabbath","No","6q4yVOTF91QRCukCQ1IzTV"
"Black Sabbath","Changes","No","5QdBAG8cpZhM3kIAQLDRN2"
"Black Sabbath","Children of the Grave","No","7stF5Ow2QS5G4Q0raUi1n6"
"Black Sabbath","Children of the Sea","No","2JPgqQuuOprW8STXRRugMW"
"Black Sabbath","Computer God","No","4ZaEDNUZFE3mJGMeFd9n7P"
"Black Sabbath","Damaged Soul","No","3gY381aWseWtDcnanY9n6u"
"Black Sabbath","Electric Funeral","No","0GoyVMmzOB53lT8qRJYC4b"
"Black Sabbath","Evil Woman","No","3xHIzMtYweNIgsOGIbdyXt"
"Black Sabbath","Fairies Wear Boots","No","34aKsAXIfB6ZI6rlMSkXkk"
"Black Sabbath","God Is Dead?","No","3IKJNHnVZ2bXGjAFBJiUYo"
"Black Sabbath","Heaven and Hell","No","62BPSdAzi3dDO7ZNx3wikV"
"Black Sabbath","Into the Void","No","6JZr1Anh17IB6DXtQDvxnh"
"Black Sabbath","Iron Man","No","4svkPL62HbvyFgf0nHFXAF"
"Black Sabbath","Killing Yourself to Live","No","5PvD0laDXMT51BIo2JMxMO"
"Black Sabbath","Loner","No","1PZ3DwxBYzuRYXt2fpomfY"
"Black Sabbath","Lord of This World","No","42IXMJhCyollp2Yb1680it"
"Black Sabbath","N.I.B.","No","2GnVuaoKSkB6Xa07l1BBg8"
"Black Sabbath","Neon Knights","No","4M3r1md8u4zyOf3DK0l9vQ"
"Black Sabbath","Never Say Die","No","74POLsjBpqeLGoLNRb3RGF"
"Black Sabbath","Paranoid","No","65qw3kbgTAoKO9hJjDraRe"
"Black Sabbath","Planet Caravan","No","3pwGxrP40tnp4kaiHgSD5E"
"Black Sabbath","Sabbath Bloody Sabbath","No","10sWvaY5yelQYHEvKfce4x"
"Black Sabbath","Sabbra Cadabra","No","4zLMM82wGnGS0VIy3pq2yU"
"Black Sabbath","Snowblind","No","5IInb5Pmard39yh1RPwxQU"
"Black Sabbath","Solitude","No","0xh4jAKV0BlbpycGZyJwtQ"
"Black Sabbath","Supernaut","No","3zxY9E2Lq38ADIhwDXOWe2"
"Black Sabbath","Sweet Leaf","No","2peq7apxC5w9ycNnykFx4E"
"Black Sabbath","The Wizard","No","51MKd0GzWjAPmiB539tQAJ"
"Black Sabbath","War Pigs","No","0HVQuuXGAcQ2P5mBN521ae"
"Black Sabbath","Wicked World","No","5Nd7D67aFokhjPCWxPdcA6"
"Black Sabbath","Zeitgeist","No","4HFRItYjNrcwT6Vbtbk2i4"
"Blue Öyster Cult","After Dark","No","29PUsW4uzZI39YffXGKlUw"
"Blue Öyster Cult","Astronomy","No","2g02rt0UFudctbAnmJsm22"
"Blue Öyster Cult","Black Blade","No","4Nyx3c0IPFITNo42yodlrh"
