"endTime","artistName","trackName","msPlayed","isPodcast"
"2021-02-08 00:43","Horizonte De Eventos","Horizonte de Eventos - Episódio 21 - Challenger - O Acidente",2987750,"Yes"
"2021-02-19 12:37","Blue Öyster Cult","True Confessions",176040,"No"
"2021-02-19 12:40","Blue Öyster Cult","That Was Me",198638,"No"
"2021-02-19 12:44","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",222773,"No"
"2021-02-19 12:48","Blue Öyster Cult","In Thee",230146,"No"
"2021-02-19 12:57","Blue Öyster Cult","Golden Age of Leather",352080,"No"
"2021-02-19 13:01","Blue Öyster Cult","Sole Survivor",246640,"No"
"2021-02-19 13:08","Blue Öyster Cult","Black Blade",399106,"No"
"2021-02-19 13:13","Blue Öyster Cult","Monsters",307133,"No"
"2021-02-19 13:39","David Gilmour","Echoes - Live in Gdansk",1525513,"No"
"2021-02-19 13:50","Rush","The Camera Eye",658986,"No"
"2021-02-19 13:56","Rush","Mystic Rhythms",353840,"No"
"2021-02-19 14:01","Rush","Manhattan Project",304866,"No"
"2021-02-19 16:16","Rush","Turn The Page",295106,"No"
"2021-02-19 16:21","Rush","Prime Mover",318733,"No"
"2021-02-19 16:26","Rush","Red Sector A",309146,"No"
"2021-02-19 16:33","Rush","The Weapon",383400,"No"
"2021-02-19 16:39","Rush","Countdown",350106,"No"
"2021-02-19 16:43","Black Sabbath","Zeitgeist",277786,"No"
"2021-02-19 16:51","Black Sabbath","Damaged Soul",471666,"No"
"2021-02-19 16:55","Rush","A Passage To Bangkok",214893,"No"
"2021-02-19 16:59","Rush","Something For Nothing",238933,"No"
"2021-02-19 17:02","Rush","The Twilight Zone",200066,"No"
"2021-02-19 17:06","Rush","Anthem",261760,"No"
"2021-02-19 17:11","Rush","Bastille Day",277133,"No"
"2021-02-19 17:22","Rush","Xanadu",664853,"No"
"2021-02-19 17:32","Rush","Natural Science",559893,"No"
"2021-02-19 17:36","Rush","The Analog Kid",287666,"No"
"2021-02-20 03:44","Rush","Afterimage",233590,"No"
"2021-02-22 00:36","Rush","Afterimage",303640,"No"
"2021-02-22 00:40","Rush","The Enemy Within",274506,"No"
"2021-02-22 00:44","Rush","Circumstances",220333,"No"
"2021-02-22 00:49","Rush","Ghost Rider - 2013 Remix",340650,"No"
"2021-02-22 00:55","Rush","Earthshine - 2013 Remix",337801,"No"
"2021-02-22 01:01","Rush","Between The Wheels",344280,"No"
"2021-02-22 01:04","Blue Öyster Cult","True Confessions",176040,"No"
"2021-02-22 01:08","Blue Öyster Cult","That Was Me",198638,"No"
"2021-02-22 01:11","Blue Öyster Cult","E.T.I. (Extra Terrestrial Intelligence)",222773,"No"
"2021-02-22 01:15","Blue Öyster Cult","In Thee",230146,"No"
"2021-02-22 01:57","Blue Öyster Cult","Golden Age of Leather",181602,"No"
"2021-03-06 01:37","Rush","Presto - 2004 Remaster",327903,"No"
"2021-03-06 01:42","Sleeping At Last","Saturn",289792,"No"
"2021-03-06 01:42","Sleeping At Last","Chasing Cars",2506,"No"
"2021-03-06 01:42","Rush","Red Tide - 2004 Remaster",2241,"No"
"2021-03-06 01:42","Rush","War Paint - 2004 Remaster",2562,"No"
"2021-03-06 01:48","Rush","Animate - 2004 Remaster",363440,"No"
"2021-03-06 01:53","Rush","Nobody's Hero - 2004 Remaster",294600,"No"
"2021-03-06 01:59","Rush","Alien Shore - 2004 Remaster",346320,"No"
"2021-03-06 02:04","Rush","Faithless",331000,"No"
"2021-03-06 02:06","Rush","We Hold On",124073,"No"
"2021-03-06 02:14","Rush","Turn The Page",295106,"No"
"2021-03-06 02:19","Rush","Prime Mover",313078,"No"
"2021-03-06 02:25","Rush","Presto - 2004 Remaster",339416,"No"
"2021-03-07 13:31","Rush","Heart Full of Soul",171240,"No"
"2021-03-07 13:34","Rush","For What It's Worth",209626,"No"
"2021-03-07 13:38","Rush","Mr. Soul",229266,"No"
"2021-03-07 13:41","Rush","Shapes of Things",195560,"No"
"2021-03-07 13:44","Rush","Seven and Seven Is",172133,"No"
"2021-03-07 13:49","Rush","Bravado - 2004 Remaster",275120,"No"
"2021-03-07 13:54","Rush","Roll the Bones - 2004 Remaster",329906,"No"
"2021-03-07 13:58","Rush","Where's My Thing - 2004 Remaster",229120,"No"
"2021-03-07 14:04","Rush","Heresy - 2004 Remaster",325440,"No"
"2021-03-07 14:09","Rush","You Bet Your Life - 2004 Remaster",300920,"No"
"2021-03-07 14:14","Rush","The Pass - 2004 Remaster",290653,"No"
"2021-03-07 14:19","Rush","War Paint - 2004 Remaster",324506,"No"
"2021-03-07 14:25","Rush","Presto - 2004 Remaster",345586,"No"
"2021-03-07 14:30","Rush","Red Tide - 2004 Remaster",270426,"No"
"2021-03-07 22:14","Rush","Available Light - 2004 Remaster",272034,"No"
"2021-03-09 16:20","Geddy Lee","The Angels' Share",274733,"No"
"2021-03-09 16:41","Geddy Lee","Runaway Train",271466,"No"
"2021-03-09 16:46","Geddy Lee","My Favorite Headache",284000,"No"
"2021-03-09 16:51","Geddy Lee","Working at Perfekt",299040,"No"
"2021-03-09 16:51","Queen","Ride The Wild Wind - Remastered 2011",11860,"No"
"2021-03-09 16:54","Rush","Heart Full of Soul",171240,"No"
"2021-03-09 16:58","Rush","For What It's Worth",209626,"No"
"2021-03-09 17:02","Rush","Mr. Soul",229266,"No"
"2021-03-09 17:05","Rush","Shapes of Things",195560,"No"
"2021-03-09 17:08","Rush","Seven and Seven Is",172133,"No"
"2021-03-09 17:12","Rush","Bravado - 2004 Remaster",275120,"No"
"2021-03-09 17:18","Rush","Roll the Bones - 2004 Remaster",329906,"No"
"2021-03-09 17:22","Rush","Where's My Thing - 2004 Remaster",229120,"No"
"2021-03-09 17:27","Rush","Heresy - 2004 Remaster",325440,"No"
"2021-03-09 19:19","Rush","You Bet Your Life - 2004 Remaster",266746,"No"
"2021-03-12 02:00","Rush","Mystic Rhythms",43727,"No"
"2021-03-12 02:01","Rush","Turn The Page",2189,"No"
"2021-03-12 02:01","Rush","Clockwork Angels",13642,"No"
"2021-03-12 02:07","Rush","Mystic Rhythms",353840,"No"
"2021-03-12 02:08","Rush","Manhattan Project",90838,"No"
"2021-03-12 02:14","Rush","Presto - 2004 Remaster",342312,"No"
"2021-03-17 14:05","Queen","Intro - Live At The Montreal Forum / November 1981",580,"No"
"2021-03-17 14:08","Queen","We Will Rock You (Fast) - Live At The Montreal Forum / November 1981",186106,"No"
"2021-03-17 14:11","Queen","Let Me Entertain You - Live At The Montreal Forum / November 1981",168693,"No"
"2021-03-17 14:15","Queen","Play The Game - Live At The Montreal Forum / November 1981",237466,"No"
"2021-03-17 14:23","Queen","Somebody To Love - Live At The Montreal Forum / November 1981",473306,"No"
"2021-03-17 14:25","Queen","Killer Queen - Live At The Montreal Forum / November 1981",119933,"No"
