"trackID","artistName","trackName"
"7fTc6aBevhBfM6vjSQuWHZ","<U+6587><U+4FCA><U+8F89>","<U+4E4C><U+9E26>"
"0fSuP4hMUK1CqDAYV62BHF","<U+6587><U+4FCA><U+8F89>","<U+5BC2><U+5BDE><U+53F7><U+767B><U+673A><U+53E3>"
"3hTGrqFnqsYtKKBWQYqUPy","Black Sabbath","A National Acrobat"
"6q4yVOTF91QRCukCQ1IzTV","Black Sabbath","Black Sabbath"
"5QdBAG8cpZhM3kIAQLDRN2","Black Sabbath","Changes"
"7stF5Ow2QS5G4Q0raUi1n6","Black Sabbath","Children of the Grave"
"2JPgqQuuOprW8STXRRugMW","Black Sabbath","Children of the Sea"
"4ZaEDNUZFE3mJGMeFd9n7P","Black Sabbath","Computer God"
"3gY381aWseWtDcnanY9n6u","Black Sabbath","Damaged Soul"
"0GoyVMmzOB53lT8qRJYC4b","Black Sabbath","Electric Funeral"
"3xHIzMtYweNIgsOGIbdyXt","Black Sabbath","Evil Woman"
"34aKsAXIfB6ZI6rlMSkXkk","Black Sabbath","Fairies Wear Boots"
"3IKJNHnVZ2bXGjAFBJiUYo","Black Sabbath","God Is Dead?"
"62BPSdAzi3dDO7ZNx3wikV","Black Sabbath","Heaven and Hell"
"6JZr1Anh17IB6DXtQDvxnh","Black Sabbath","Into the Void"
"4svkPL62HbvyFgf0nHFXAF","Black Sabbath","Iron Man"
"5PvD0laDXMT51BIo2JMxMO","Black Sabbath","Killing Yourself to Live"
"1PZ3DwxBYzuRYXt2fpomfY","Black Sabbath","Loner"
"42IXMJhCyollp2Yb1680it","Black Sabbath","Lord of This World"
"2GnVuaoKSkB6Xa07l1BBg8","Black Sabbath","N.I.B."
"4M3r1md8u4zyOf3DK0l9vQ","Black Sabbath","Neon Knights"
"74POLsjBpqeLGoLNRb3RGF","Black Sabbath","Never Say Die"
"65qw3kbgTAoKO9hJjDraRe","Black Sabbath","Paranoid"
"3pwGxrP40tnp4kaiHgSD5E","Black Sabbath","Planet Caravan"
"10sWvaY5yelQYHEvKfce4x","Black Sabbath","Sabbath Bloody Sabbath"
"4zLMM82wGnGS0VIy3pq2yU","Black Sabbath","Sabbra Cadabra"
"5IInb5Pmard39yh1RPwxQU","Black Sabbath","Snowblind"
"0xh4jAKV0BlbpycGZyJwtQ","Black Sabbath","Solitude"
"3zxY9E2Lq38ADIhwDXOWe2","Black Sabbath","Supernaut"
"2peq7apxC5w9ycNnykFx4E","Black Sabbath","Sweet Leaf"
"51MKd0GzWjAPmiB539tQAJ","Black Sabbath","The Wizard"
"0HVQuuXGAcQ2P5mBN521ae","Black Sabbath","War Pigs"
"5Nd7D67aFokhjPCWxPdcA6","Black Sabbath","Wicked World"
"4HFRItYjNrcwT6Vbtbk2i4","Black Sabbath","Zeitgeist"
"29PUsW4uzZI39YffXGKlUw","Blue Öyster Cult","After Dark"
"2g02rt0UFudctbAnmJsm22","Blue Öyster Cult","Astronomy"
"4Nyx3c0IPFITNo42yodlrh","Blue Öyster Cult","Black Blade"
"5I35lj0wrL3et6tRaq7gSy","Blue Öyster Cult","Born To Be Wild"
"6QJmMsK2vCvxPvkeaPFM0F","Blue Öyster Cult","Box in My Head"
"3fkPMWQ6cBNBLuFcPyMS8s","Blue Öyster Cult","Burnin' for You"
"7gzbnBiHnGBpruEIWTSh1X","Blue Öyster Cult","Burning for You"
"1hNIb1XdqTfcanT6yr9l4k","Blue Öyster Cult","Career of Evil"
"0M7oqERflkrJVHD3IAZqxo","Blue Öyster Cult","Cities On Flame"
"3hPYZWTZPGBnQ5fCAl6d12","Blue Öyster Cult","Dancin' In the Ruins"
"1Zd5KxenhiRD0OpIf9Dfmh","Blue Öyster Cult","Death Valley Nights"
"4cOqjEZyN13voCKivT0ae2","Blue Öyster Cult","Dominance and Submission"
"5KBdHzTROSlD3dACh91sZx","Blue Öyster Cult","E.T.I."
"7jVe2goPxC3aDq6BRgqPMo","Blue Öyster Cult","Edge of the World"
"41E1dJP0U1tlgIsjmPLHhd","Blue Öyster Cult","Eyes on Fire"
"1IYjr8q6ZmRxVlTVtBTvQn","Blue Öyster Cult","Fallen Angel"
