"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"30PvTO9EWpi9t9jWdueP7S","Rush","Totem - 2004 Remaster",0.573,0.855,7,-6,0,0.0375,0.00392,0.00683,0.21,0.512,120.027,298533,4
"4M8k3O09ksiX6CTDWiDpEr","Rush","Between Sun & Moon",0.511,0.931,7,-5.816,1,0.047,5.74e-05,0.00242,0.148,0.524,122.001,277773,4
"3r9B2UasogxeNIu1ketFNl","Led Zeppelin","Trampled Under Foot - Live: O2 Arena, London - December 10, 2007",0.411,0.928,7,-8.142,1,0.0469,2.01e-05,0.875,0.95,0.425,112.828,379560,4
"10iKEWrT8lrg7URH6p9u9R","Rush","One Little Victory - Snakes & Arrows Live Version",0.268,0.978,9,-4.592,1,0.0899,4.82e-05,0.00744,0.946,0.358,129.747,326800,4
"3oQmhSFOyQx8v1qf0shHNP","Led Zeppelin","Dazed and Confused",0.694,0.0529,0,-21.091,1,0.0521,0.958,0.878,0.107,0.21,119.953,171200,3
"63JnyvtwaCYqsVQfVwgyuI","Rush","We Hold On",0.498,0.905,9,-5.42,0,0.0389,0.000477,1.78e-06,0.16,0.78,125.016,252600,4
"3KQCdojAu1aO3BZ2G959e1","Rush","The Speed of Love",0.526,0.941,0,-5.91,1,0.0444,6.92e-05,0.00224,0.411,0.798,115.042,301787,4
"3SGP8It5WDnCONyApJKRTJ","Queen","Who Wants To Live Forever - Remastered 2011",0.182,0.388,4,-8.672,0,0.0324,0.544,0.00134,0.114,0.0392,139.276,295333,4
"0WLulekxiDsLSjnXrTg2qY","Rush","Between The Wheels - Live R40 Tour",0.31,0.917,7,-5.73,1,0.0458,5.18e-05,0.00585,0.866,0.311,142.258,358047,4
"5jleoXgOf41HdLITE0Omu3","Yes","America - 2003 Remaster",0.27,0.704,2,-8.755,1,0.063,0.00367,0.283,0.301,0.519,176.03,631573,4
"1IYjr8q6ZmRxVlTVtBTvQn","Blue Öyster Cult","Fallen Angel",0.556,0.702,4,-9.66,1,0.0278,0.0275,0.024,0.149,0.611,145.31,194907,4
"7bVuzu6gHpFay5ynWMm60h","The Who","Eminence Front - Live",0.535,0.9,5,-6.65,0,0.0318,0.0131,0.0873,0.946,0.36,97.784,347947,4
"5btB0bp2D0N3fCkifI8vFi","Queen","No One But You",0.281,0.396,7,-8.019,1,0.0305,0.471,0,0.91,0.195,88.593,252526,4
"6aU0F03DR257LCPAXjtg42","Queen","Crazy Little Thing Called Love",0.6,0.608,0,-12.271,1,0.0458,0.696,1.16e-06,0.215,0.783,77.147,164373,4
