"artist","album","track"
"Rush","Time Machine 2011: Live In Cleveland","Working Man - Live in Cleveland"
"Rush","Snakes & Arrows Live","Spindrift - Snakes & Arrows Live Version"
"Rush","2112","Lessons"
"Rush","Snakes & Arrows Live","The Main Monkey Business - Snakes & Arrows Live Version"
"Queen","Greatest Hits II","The Miracle - Remastered 2011"
"Rush","R40 Live","Losing It - Live R40 Tour"
"Rush","Counterparts","Leave That Thing Alone - 2004 Remaster"
"Black Sabbath","13","Live Forever"
"Rush","Caress Of Steel","The Necromancer"
"Queen","Live At Wembley Stadium","One Vision - Live At Wembley Stadium / July 1986"
"Rush","Rush in Rio","YYZ - Rio Live"
"Rush","Time Machine 2011: Live In Cleveland","BU2B - Live In Cleveland"
"Rush","Time Machine 2011: Live In Cleveland","O'Malley's Break - Live in Cleveland"
"Led Zeppelin","Mothership","Good Times Bad Times - Remaster"
"Queen","Queen Rock Montreal","Drum And Tympani Solo - Live At The Montreal Forum / November 1981"
"Rush","Time Machine 2011: Live In Cleveland","The Spirit of Radio - Live in Cleveland"
"Rush","Grace Under Pressure","Between The Wheels"
"Rush","R40 Live","Between The Wheels - Live R40 Tour"
"Rush","Time Machine 2011: Live In Cleveland","Marathon - Live in Cleveland"
"Rush","R30","Summertime Blues - R30 Live Version"
"Rush","Rush in Rio","New World Man - Rio Live"
"Queen","Greatest Hits","Now I'm Here - Remastered 2011"
"Rush","Rush in Rio","Distant Early Warning - Rio Live"
"Rush","Signals","New World Man"
"Rush","Snakes & Arrows Live","Circumstances - Snakes & Arrows Live Version"
"Rush","R40 Live","What You're Doing / Working Man - Medley / Live R40 Tour"
"Queen","Greatest Hits","Killer Queen - Remastered 2011"
"Black Sabbath","13","Loner"
"Blue Öyster Cult","Agents Of Fortune","(Don't Fear) The Reaper"
"Rush","Roll the Bones","You Bet Your Life - 2004 Remaster"
"Rush","Snakes & Arrows","Far Cry"
"Rush","Roll the Bones","Bravado - 2004 Remaster"
"Rush","2112","Something For Nothing"
"Yes","90125","It Can Happen"
"Queen","Greatest Hits III","Thank God It's Christmas"
"Rush","Time Machine 2011: Live In Cleveland","Subdivisions - Live in Cleveland"
"Rush","Signals","Losing It"
"Queen","Queen Rock Montreal","I'm In Love With My Car - Live At The Montreal Forum / November 1981"
"Rush","Roll the Bones","Where's My Thing - 2004 Remaster"
"Queen","Live At Wembley Stadium","Who Wants to Live Forever - Live At Wembley Stadium / July 1986"
"Queen","Live At Wembley Stadium","Crazy Little Thing Called Love - Live At Wembley Stadium / July 1986"
